candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,SSL Recorder,Ssl Recorder,Filing Fee,25.00,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v1,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,SL County Clerk,SL County Clerk,List of Registered Voters,15.00,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v2,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Smith's Marketplace,Smith's Marketplace,Paper and Office Supplies,31.44,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v3,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Jessica Davis,Jessica Davis,Photo Session,30.00,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v4,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Cartridge World,Cartridge World,Ink Cartridges,33.23,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v5,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Cartridge World,Cartridge World,Ink Cartridge,13.93,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v6,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Dollar Tree,Dollar Tree,Sign Supplies,15.09,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v7,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Smith's Marketplace,Smith's Marketplace,Sign Supplies,9.74,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v8,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Hobby Lobby,Hobby Lobby,Sign Supplies,21.40,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v9,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Renaissance Signs,Renaissance Signs,Signs and stands,368.53,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v10,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Cartridge World,Cartridge World,Ink Cartridge,27.86,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v11,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,AMT Printing,Amt Printing,Flyers,334.03,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v12,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Cartridge World,Cartridge World,Ink Cartridge,9.64,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v13,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Ray Patterson,Ray Patterson,In kind -- Zipties,14.00,True,True,raw/2021_state_hampton-aileen.pdf,8c946605,v14,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Renaissance Signs,Renaissance Signs,Decals,53.10,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v15,medium,vision_cache/vision,0
Aileen Hampton,Council,3,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Dollar Tree,Dollar Tree,Envelopes,2.16,False,True,raw/2021_state_hampton-aileen.pdf,8c946605,v16,medium,vision_cache/vision,0
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Mattie Moffat,Mattie Moffat,Haircut for photo shoot,125.00,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v1,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Nyna Nilsen,Nyna Nilsen,Hair style/makeup for photo shoot,300.00,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v2,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,1.53,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v3,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,City of SSL,City of Ssl,Purchase of cell phone,649.99,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v4,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Landslide Political,Landslide Political,FB ads for Apr - June,524.95,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v5,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,5.20,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v6,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Harbor Freight,Harbor Freight,Political sign supplies,82.23,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v7,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,1.53,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v8,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Landslide Political,Landslide Political,FB ads for July,192.04,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v9,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,1.53,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v10,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,City of SSL,City of Ssl,Filing fee,25.00,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v11,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,5.20,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v12,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,5.20,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v13,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Chevron,Chevron,Fuel for sign crew,38.98,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v14,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,5.20,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v15,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,5.20,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v16,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Landslide Political,Landslide Political,FB ads for August,644.34,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v17,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Home Depot,Home Depot,Political sign supplies,246.13,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v18,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,5.20,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v19,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,5.20,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v20,low,vision_cache/vision,1
Cherie Wood,Mayor,,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),,Fund Hero,Fund Hero,Fundhero fee,49.30,False,True,raw/2021_state_wood-cherie.pdf,84ece4b9,v21,low,vision_cache/vision,1
