### SHEET: Sheet1  (57x8)
All Expeditures for			Zachary Renstrom		COMMISSION		Washington County
Date Received		41988			SEAT A	Date Due	42019
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41718	378		Filing Fee	
Washington County Republican			02/072014	400		Lincoln Day Breakfast	
Party							
The Business Card Store			41684	31.88		Banner	
The Business Card Store			41684	242.25		Signs - Banner	
Steamroller Copies			41719	348.64		Flyers	
Independent Publishing			41719	125		Graphic Design of Flyers	
Washington County Republicans			41726	100		Table at Convention	
United States Post Office			41732	196		Stamps	
Bush and Gudgell			41738	25		Printing Flyers at office	
Staples			41738	76.48		Paper and Envelopes	
Gas			41739	55		Meet Delegates	
Costco			41797	26.78		Candy	
Independent Publishing			41876	825		Media	
Super Cheap Signs			41876	1648.58		Signs	
Costco			41876	40.17		Candy	
Costco			41891	40.17		Candy	
Justin Jensen			41892	250		Website Design	
Power Image Inc			41893	160.65		T-Shirts	
St George Fun			41904	82.34		Cotton Candy Machine	
Costco			41900	40.17		Candy	
Home Depot			41909	21.23		Supplies to put up signs	
Maverick			41909	79.21		Gas - truck to put up signs	
Home Depot			41909	116.84		Supplies to put up signs	
Party Land Utah			41923	19.78		Cotton Candy Mix	
Maverick			11/05/014	126.25		Gas- to take down signs	
Ivy Adams			41948	175		Campaign Pictures and prints	
Zachary Renstrom			41948	2500		Repayment of loan	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
