### SHEET: Sheet1  (17x8)
All Expeditures for			Cory C Pulsipher			SHERIFF	Washington County
Date Received		April 3 2014				Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
Washington County Republican			02/11/014	150		Lincoln Day Breakfast Table	
Party							
Washington County			41712	497		Filing Fee	
Red Lobster			41720	92.7		Campaign Meeting	
Washington County Republican			41723	100		Electioneering Table	
Party							
Lowes			41725	77.93		Sign Supplies	
Lifetime			41727	302.55		Chairs for Meet & Greet	
						Meetings	
Oh My Heck Marketing			41729	939.69		Advertising (Bags & Buttons)	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
