### SHEET: Sheet1  (47x8)
All Expeditures for							Position
		GREG ALDRED			COUNTY COMMISSION SEAT C		
Recipient			Received	Amount	In Kind	Description	
Washington County Clerk			40977	225		Filing Fee	
Washington UT Post Office			40977	45		Stamps	
Staples			40978	13.6		Brochures	
Discount Copies			40956	217.82		Letters	
Discount Copies			40958	228.43		Brochures	
Discount Copies			40977	282.63		Brochures	
Discount Copies			40983	40.37		Brochures	
Wal Mart			40987	11.62		Envelopes	
Red Rocks PO			40987	48.6		Stamps	
Red Rocks PO			40987	48.6		Stamps	
Red Rocks PO			40987	40.5		Stamps	
Little Cesars			40988	32.12		Envelope mail out party	
Red Rocks PO			40988	48.6		Stamps	
Red Rocks PO			40988	24.3		Stamps	
Discount Copies			40988	29.65		B&W Letters	
Costco			40993	44.75		Stamps	
Wal Mart			40994	65.61		Ice cream social	
Dr Don's Buttons			40996	96.68		500 Campaign Stickers	
Dixie College & GOP			40993	75		Table at convention	
Dixie College			40993	50		Cookies at convention	
I.W.O.W WE			40993	210		internet mailers	
Dr Don's Buttons			40993	96.68		campaign stickers	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
